col_name,dtype,descripcion,synonyms
DESEMPENO_finalizacion_score,DOUBLE,puntaje final de la empresa en relacion a su desempeño,"puntaje de desempeno, nota final, calificacion de resultados, indice de cumplimiento"
DESEMPENO_finalizacion_estado,VARCHAR,estado de la finalizacion,"situacion de cierre, estatus final, condicion de termino, estado de conclusion"
DIGITAL_nombre_empresario,VARCHAR,nombre del empresario o empresaria,"nombre del titular, representante legal, identidad del dueno, nombre del aplicante"
BENEFICIARIO_descripcion_empresa,VARCHAR,descripcion de la empresa,"resumen del negocio, perfil de la empresa, actividad empresarial, que hace la empresa"
sector_industria_empresa_principal,VARCHAR,dimension estructural primaria sector o industria principal en la que opera la empresa usada para segmentacion sectorial y filtros en analisis,sector industria actividad economica rubro giro empresarial sector principal industria principal segmento productivo
BENEFICIARIO_responsable_contacto_webinar,VARCHAR,persona responsable de contactar al empresario para preguntarle sobre beneficiarios,"encargado de webinar, contacto para beneficiarios, responsable de seguimiento, persona de contacto"
BENEFICIARIO_numero_directos_inicio_kinesis,VARCHAR,numero de beneficiarios directos de la empresa al inicio de kinesis,"beneficiados directos iniciales, cantidad directa al comienzo, impacto directo inicial, numero de personas directas antes"
BENEFICIARIO_numero_directos_final_kinesis,VARCHAR,numero de beneficiarios directos de la empresa al termino de kinesis,"beneficiados directos finales, cantidad directa al cierre, impacto directo final, numero de personas directas despues"
BENEFICIARIO_notas_directos_inicio_kinesis,VARCHAR,notas sobre beneficiarios directos de empresas kinesis,"comentarios directos iniciales, observaciones beneficiarios directos"
BENEFICIARIO_numero_indirectos_inicio_kinesis,VARCHAR,numero de beneficiarios indirectos de la empresa al inicio de kinesis,"beneficiados indirectos iniciales, cantidad indirecta al comienzo, impacto indirecto inicial, numero de personas indirectas antes"
BENEFICIARIO_numero_indirectos_final_kinesis,VARCHAR,numero de beneficiarios indirectos de la empresa al termino de kinesis,"beneficiados indirectos finales, cantidad indirecta al cierre, impacto indirecto final, numero de personas indirectas despues"
BENEFICIARIO_notas_indirectos_final_kinesis,VARCHAR,notas sobre beneficiarios indirectos de empresas kinesis,"comentarios indirectos finales, observaciones beneficiarios indirectos, apuntes indirectos cierre, detalles de impacto indirecto"
CIERRE_contribucion_conocimientos_kinesis,VARCHAR,percepcion de contribucion de kinesis en conocimientos de empresario,"aporte de aprendizaje, valor de la ensenanza, utilidad de conocimientos, mejora de saber"
CIERRE_percibe_cambio_capacidades,VARCHAR,percepcion de nivel de cambio producido por kinesis en capacidades de empresario,"mejora de habilidades, cambio en competencias, evolucion de aptitudes, progreso de capacidades"
CIERRE_percibe_cambios_toma_decisiones,VARCHAR,percepcion de nivel de cambio producido por kinesis en toma de decisiones de empresario,"evolucion al decidir, cambio en resoluciones, mejora de eleccion, nueva toma de decisiones"
CIERRE_identifica_acciones_mejora_empresa,VARCHAR,se identifica acciones de mejora en la empresa,"planes de mejora, acciones correctivas, oportunidades de optimizacion, cambios positivos identificados"
CIERRE_microinnovaciones_administracion,VARCHAR,microinnovaciones desarrolladas en area administracion y gerencia,"mejoras administrativas, innovacion en gerencia, cambios en gestion, microinnovacion administrativa"
CIERRE_microinnovaciones_operaciones,VARCHAR,microinnovaciones desarrolladas en area operaciones,"mejoras operativas, innovacion en procesos, cambios en produccion, microinnovacion logistica"
CIERRE_microinnovaciones_marketing_ventas,VARCHAR,microinnovaciones desarrolladas en area marketing y ventas,"mejoras comerciales, innovacion en ventas, cambios de mercadeo, microinnovacion de marketing"
CIERRE_microinnovaciones_compras,VARCHAR,microinnovaciones desarrolladas en area compras,"mejoras en adquisiciones, innovacion en suministros, cambios con proveedores, microinnovacion de compras"
CIERRE_microinnovaciones_finanzas_contabilidad,VARCHAR,microinnovaciones desarrolladas en area finanzas y contabilidad,"mejoras financieras, innovacion contable, cambios en tesoreria, microinnovacion financiera"
CIERRE_microinnovaciones_innovación_tecnología,VARCHAR,microinnovaciones desarrolladas en area innovacion tecnologica,"mejoras tecnologicas, innovacion digital, cambios tecnicos, microinnovacion ti"
CIERRE_microinnovaciones_recursos_humanos,VARCHAR,microinnovaciones desarrolladas en area recursos humanos,"mejoras de talento, innovacion en personal, cambios en rh, microinnovacion de capital humano"
CIERRE_microinnovaciones_legal,VARCHAR,microinnovaciones desarrolladas en area legal,"mejoras legales, innovacion normativa, cambios juridicos, microinnovacion legal"
CIERRE_microinnovaciones_calidad,VARCHAR,microinnovaciones desarrolladas en area calidad,"mejoras de calidad, innovacion de estandares, cambios en control, microinnovacion cualitativa"
CIERRE_microinnovaciones_aspectos_ambientales_sociales,VARCHAR,microinnovaciones desarrolladas en area social o ambiental,"mejoras sostenibles, innovacion social, cambios ambientales, microinnovacion de impacto"
CIERRE_logro_implementar_cambios,VARCHAR,el empresario indica si logro implementar cambios en la empresa,"cambios realizados, aplicacion de mejoras, ejecucion de cambios, exito en implementacion"
CIERRE_no_logro_implementar_cambios_motivos,VARCHAR,motivos por los que el empresario no logro implementar cambios,"razones de no cambio, barreras de implementacion, causas de falta de avance, porque no hubo cambios"
CIERRE_cambio_empresario_cambio_1,VARCHAR,primer cambio que identifica el empresario en si mismo por kinesis,"primer impacto personal, mejora individual uno, cambio del dueno uno, evolucion personal inicial"
CIERRE_cambio_empresario_cambio_2,VARCHAR,segundo cambio que identifica el empresario en si mismo por kinesis,"segundo impacto personal, mejora individual dos, cambio del dueno dos, evolucion personal secundaria"
CIERRE_cambio_empresario_cambio_3,VARCHAR,tercer cambio que identifica el empresario en si mismo por kinesis,"tercer impacto personal, mejora individual tres, cambio del dueno tres, evolucion personal final"
CIERRE_cambio_empresa_cambio_1,VARCHAR,primer cambio que identifica el empresario en la empresa por kinesis,"primer impacto corporativo, mejora del negocio uno, cambio organizacional uno, evolucion de empresa inicial"
CIERRE_cambio_empresa_cambio_2,VARCHAR,segundo cambio que identifica el empresario en la empresa por kinesis,"segundo impacto corporativo, mejora del negocio dos, cambio organizacional dos, evolucion de empresa secundaria"
CIERRE_cambio_empresa_cambio_3,VARCHAR,tercer cambio que identifica el empresario en la empresa por kinesis,"tercer impacto corporativo, mejora del negocio tres, cambio organizacional tres, evolucion de empresa final"
CIERRE_cambios_control_gestion_datos,VARCHAR,percepcion cambios en la gestion y control de datos,"manejo de informacion, control de bases de datos, administracion de data, monitoreo de registros"
CIERRE_cambios_decisiones_empresariales,VARCHAR,percepcion cambios en la toma de decisiones,"resoluciones del negocio, determinaciones corporativas, eleccion de estrategias, gestion de acuerdos"
CIERRE_cambios_decisiones_basadas_datos,VARCHAR,percepcion cambios en las decisiones basadas en datos,"analitica para decidir, decisiones informadas, uso de metricas, criterios de data"
CIERRE_cambios_kinesis_venta_productos_servicios,VARCHAR,percepción de cambios por kinesis en venta de productos y servicios,"impacto en ventas, variacion en comercializacion, cambios en ingresos por servicios"
CIERRE_cambios_kinesis_vinculacion_firmas_grandes,VARCHAR,percepción de cambios por kinesis para la vinculacion con firmas grandes,"alianzas corporativas, nexo con grandes empresas, relacionamiento empresarial"
CIERRE_cambios_kinesis_nuevos_mercados,VARCHAR,percepción de cambios por kinesis en la creacion de nuevos mercados,"apertura de plazas, expansion de mercados"
CIERRE_cambios_kinesis_nuevos_canales_digitales,VARCHAR,percepción de cambios por kinesis en nuevos canales digitales,"adopcion de medios digitales, transformacion de canales"
CIERRE_cambios_kinesis_compra_empresas_pequenas,VARCHAR,percepción de cambios por kinesis en la compra a empresas pequeñas,"proveeduria de pymes, compras a negocios pequenos"
CIERRE_cambios_kinesis_contrato_publico,VARCHAR,percepción de cambios por kinesis en contratacion con entidades publicas,"licitaciones estatales, negocios con el gobierno, ventas al sector publico"
CIERRE_ha_obtenido_financiacion,VARCHAR,el empresario indica si ha obtenido financiacion o no,"exito en financiamiento, recepcion de fondos, credito conseguido, desembolso recibido"
CIERRE_tipo_financiamiento_banca_comercial,VARCHAR,banca comercial entrego financiamiento a la empresa,"prestamo banco privado, credito de banca tradicional, financiamiento comercial bancario"
CIERRE_tipo_financiamiento_banca_desarrollo,VARCHAR,banca desarrollo entrego financiamiento a la empresa,"fondos de fomento, credito de banca estatal, apoyo financiero de desarrollo"
CIERRE_tipo_financiamiento_no_bancarias,VARCHAR,entidades no bancarias entrego financiamiento a la empresa,"entidades financieras alternativas, prestamos de fintech, credito no bancarizado"
CIERRE_tipo_financiamiento_organizaciones_empresariales,VARCHAR,organzacion empresarial entrego financiamiento a la empresa,"fondos de camaras, credito de gremios, apoyo de asociaciones"
CIERRE_tipo_financiamiento_gobierno,VARCHAR,gobierno entrego financiamiento a la empresa,"subsidio estatal, fondos publicos, apoyo gubernamental, financiamiento del estado"
CIERRE_tipo_financiamiento_proveedores,VARCHAR,proveedores entrego financiamiento a la empresa,"credito comercial, financiamiento de suministros, pago diferido"
CIERRE_tipo_financiamiento_familiares_amigos,VARCHAR,familiares o amigos cedieron financiamiento a la empresa,"prestamo de conocidos, capital familiar, dinero de amigos, financiamiento de circulo cercano"
CIERRE_tipo_financiamiento_crowdfunding,VARCHAR,la empresa obtuvo el financiamiento a traves de creowdfunding,"fondeo colectivo, recaudacion masiva, financiamiento participativo"
CIERRE_tipo_financiamiento_fintech,VARCHAR,la empresa obtuvo el financiamiento a traves de una fintech,"credito digital, prestamo plataforma tecnologica, financiamiento de startups financieras"
CIERRE_tipo_financiamiento_fondo_capital_riesgo,VARCHAR,la empresa obtuvo el financiamiento a traves de capital de riesgo,"venture capital, inversion de riesgo, fondos de capital emprendedor"
CIERRE_tipo_financiamiento_inversionistas,VARCHAR,la empresa obtuvo el financiamiento a traves de inversionistas,"capital de terceros, inversion privada, inyeccion de socios"
CIERRE_tipo_financiamiento_microfinancieras,VARCHAR,la empresa obtuvo el financiamiento a traves de microfinancieras,"microcreditos, instituciones de microfinanzas, prestamos para microempresas"
CIERRE_tipo_financiamiento_otros,VARCHAR,la empresa obtuvo el financiamiento a traves de otras organizaciones,"otras fuentes financieras, financiamiento miscelaneo"
CIERRE_satisfaccion_duracion_programa,VARCHAR,satisfaccion del empresario en relacion a la duracion de kinesis,"conformidad con el tiempo, agrado con la duracion, opinion del plazo"
CIERRE_mas_gusto,VARCHAR,lo que mas le gusto al empresario de kinesis,"puntos destacables, fortalezas del programa, lo preferido"
CIERRE_menos_gusto,VARCHAR,lo que menos le gusto al empresario de kinesis,"puntos a mejorar, debilidades encontradas, lo mas dificil, quejas o reclamos"
CIERRE_net_promoter_score,BIGINT,calificacion probabilidad de recomendacion a un amigo o familiar,"nivel de recomendacion, nps, fidelidad del usuario, indice de promotores"
CIERRE_significado_kinesis_empresa,VARCHAR,el significado de kinesis para el empresario,"impacto percibido, relevancia para el negocio, vision de la empresa, concepto del programa"
CIERRE_interes_informacion_nuevos_proyectos,VARCHAR,interes del empresario por seguir participando en proyectos de la organizacion,"voluntad de participar, interes en convocatorias, seguimiento futuro, deseo de nuevas iniciativas"
